Date,Open,High,Low,Close,Volume
2025-01-10,221.46,221.71,216.5,218.94,36811525
2025-01-13,218.06,219.4,216.47,218.46,27262655
2025-01-14,220.44,221.82,216.2,217.76,24711650
2025-01-15,222.83,223.57,220.75,223.35,31291257
2025-01-16,224.42,224.65,220.31,220.66,24757276
2025-01-17,225.84,226.51,223.08,225.94,42370123
2025-01-21,228.9,231.78,226.94,230.71,39951456
2025-01-22,232.02,235.44,231.19,235.01,41448217
2025-01-23,234.1,235.52,231.51,235.42,26404364
2025-01-24,234.5,236.4,232.93,234.85,25890738
2025-01-27,226.21,235.61,225.86,235.42,49428332
2025-01-28,234.29,241.77,233.98,238.15,41587188
2025-01-29,239.015,240.39,236.15,237.07,26091716
2025-01-30,237.14,237.95,232.22,234.64,32020728
2025-01-31,236.5,240.29,236.41,237.68,36162377
2025-02-03,234.06,239.25,232.9,237.42,37285868
2025-02-04,239.01,242.52,238.03,242.06,29713812
2025-02-05,237.02,238.32,235.2,236.17,38832042
2025-02-06,238.01,239.6599,236.01,238.83,60897095
2025-02-07,232.5,234.81,228.06,229.15,77539276
2025-02-10,230.545,233.92,229.2,233.14,35419926
2025-02-11,231.92,233.44,230.13,232.76,23713726
2025-02-12,230.46,231.18,228.16,228.93,32285249
2025-02-13,228.85,230.42,227.52,230.37,31346512
2025-02-14,229.2,229.89,227.23,228.68,27031084
2025-02-18,228.82,229.3,223.72,226.65,42975133
2025-02-19,225.52,226.83,223.71,226.63,28566709
2025-02-20,224.775,225.13,221.81,222.88,30001665
2025-02-21,223.28,223.31,214.74,216.58,55323850
2025-02-24,217.45,217.715,212.42,212.71,42387585
2025-02-25,211.63,213.34,204.16,212.8,58957977
2025-02-26,214.94,218.16,213.09,214.35,39120603
2025-02-27,218.35,219.97,208.37,208.74,40548571
2025-02-28,209.06,212.62,206.99,212.28,51771737
2025-03-03,213.352,214.01,202.55,205.02,42948447
2025-03-04,200.11,206.8,197.432,203.8,60853084
2025-03-05,204.8,209.98,203.26,208.36,38610085
2025-03-06,204.4,205.77,198.3015,200.7,49863755
2025-03-07,199.49,202.2653,192.53,199.25,59802821
2025-03-10,195.6,196.73,190.85,194.54,62350926
2025-03-11,193.9,200.18,193.4,196.59,54002880
2025-03-12,200.72,201.52,195.29,198.89,43679284
2025-03-13,198.165,198.8799,191.82,193.89,41270761
2025-03-14,197.41,198.65,195.32,197.95,38096663
2025-03-17,198.77,199.0,194.3247,195.74,47341752
2025-03-18,192.52,194.0,189.38,192.82,40414867
2025-03-19,193.38,195.965,191.96,195.54,39442878
2025-03-20,193.07,199.32,192.3,194.95,38921113
2025-03-21,192.9,196.99,192.52,196.21,60056917
2025-03-24,200.0,203.64,199.95,203.26,41625365
2025-03-25,203.595,206.21,203.22,205.71,31171161
2025-03-26,205.835,206.01,199.925,201.13,32990973
2025-03-27,200.89,203.79,199.2821,201.36,27317661
2025-03-28,198.42,199.26,191.881,192.72,52548226
2025-03-31,188.19,191.33,184.4,190.26,63547558
2025-04-01,187.86,193.93,187.2,192.17,41267315
2025-04-02,187.66,198.34,187.66,196.01,53679198
2025-04-03,182.995,184.13,176.92,178.41,95553617
2025-04-04,167.145,178.1436,166.0,171.0,123159359
2025-04-07,162.0,183.4099,161.38,175.26,109327115
2025-04-08,185.23,185.9,168.57,170.66,87710360
